Features,Label
"This is a feature, not a bug. When insurers do not want more patients with a particular type of ailment they simply refuse to credential more providers in the hope that those patients will change plans.",No
Some  insurance company has my hospitalist group listed as infectious disease. We get calls everyday looking to set up care and have to tell them we're an inpatient medical group. Our coordinator has spent about 6 years attempting to fix this to no avail.,Yes
"I waited it out and researched heavily. I worked general ortho for a bit when I moved back to town - I knew I wanted to do spine but I wanted to be picky about who I worked with (I feel like general ortho in comparison is pretty easy to be somewhat happy for me, I like ortho clinics, casting, injections, and the surgeries are usually decent with most of the guys I have worked with) as I previously had worked for a super scary ortho spine guy. So I scoped the area, talking to patients and other docs, and waited for a position to open up within my current company. We were lucky to be a good fit, I work with two surgeons who have somewhat different styles (one does more MIS, the other does larger deformity work) but we mesh really well. All that to say - a little bit of luck, knowing what you are looking for, and being willing to wait for the right job to come along. Being friends with my surgeons and coworkers was a lucky bonus!",No
"This sounds very inappropriate for a new grad. 

Also stop being afraid to ask for help. That doc is there, ask every time. Sit down today with your superior and discuss this. You need more close training and mentorship.

If this post is even real (sorry OP, when there's no post or comment history I question if this is made up by someone to repost on anti PA forums) - you need to immediately cry foul to protect your patients and your license, leaving if need be.",No
Did you get a training period? If not I'd ask to be properly trained because you not knowing what you're doing (due to lack of support) is going to affect your patients. Either they train you or find a new job.,No
"My first job was inpatient cardiology out of school. I didn't know anything when i started. Now being one year into the job, I am much more confident than I was. I think that's how you feel for any job out of school, regardless of specialty. You're talking about going to outpatient, I've now transitioned into an inpatient AND outpatient role for cardiology. I can say I would not be half the provider I am in the outpatient setting if it wasn't for my experience while inpatient. You learn the most in the hospital setting. I would recommend staying in this job unless it is detrimental to your mental well being. A first job in cardiology is hard, but it gives you an extremely solid foundation for the rest of your career once you get your feet under you",No
"Everyone brings up drug prices, and while I think that's a fair focus, ridiculous drug prices tend to only affect certain new drugs/ older drugs which get a new indication and thus the companies opportunistically price gouge.  We need to focus more on the fact Americans are being lied to that they can readily get care in general. I live in the Sacramento area, it's actually a happening place where a lot of people are moving, but a number of my patients can't get into a primary care physician for 3 months if they have Cadillac insurance, more if they have one of the many plans that have been dropped by most systems in my area.  The state expanded Medicaid coverage massively last year, but both pcps and specialty  offices aren't taking Medicaid for the most part other than already overburdened FQHCs.  Kaiser got a nice cushy contract with the state to supply Medicaid coverage, but patients already in the Kaiser system already struggle to get in with their PCPs and if they need a specialist it's an added struggle. When I did locums last year I paid for kaiser. I was not able to get into a primary and kaiser refused to pay for my adhd medication because I didn't have a kaiser psychiatrist, which likely would have taken over a year to establish. I certainly felt like I was cheated out of thousands of dollars, paying a monthly premium for insurance and not even being able to access services, but I can't say i was particularly surprised. The public as a whole seems to be absolutely blindsided when they really need medical care and get turned away at every corner because there aren't enough doctors to take care of them and none of the hospitals in the area want to deal with their insurance.",Yes
"No, the bill rate is wildly inflated because if you overbill insurance pays you the max amount and you can bill the patient the rest.

If you underbill, insurance pays you that amount and you lose x-extra amount. So to get the ""max"" money you always have to overbill. BEcause hospitals don't have these neat nice insurance agreements like you want.",No
"Multiple things can be true at the same time. 

You can have legitimately never seen anything similar happen in your career or personal life. 


Likewise, out of the billions of patients in the world, there can exist an amount who have had their symptoms completely disregarded and their pain not treated. 


Respectfully, if you can not see beyond your own personal experiences, you should probably check your internal biases.",No
"This was my thought. It absolutely happens in rural medicine. I literally field these patients almost every day I work. Sometimes it's legit no one worked them up, sometimes the patients are legit dramatic and have their story wrong. Trying to decipher which is which can be, interesting at times. 

Not sure if city, metro area type docs are similar or not",No
">you're not going to solve all my problems.

I appreciate you saying this; but some people absolutely expect this. Not only that, they expect it *now*. 

I have an appointment on my schedule today that says PA CustomerLittle needs to fix my knee RIGHT NOW. Its hard to estimate how many patients really behave this way because we index for negative experience. But I can pretty firmly say this mentality is getting more and more frequent.",Yes
"Great question! As it turns out, people tend to respond very well to a slightly science-y explanation of IBS. In lay terms, I talk about the concept of visceral hypersensitivity, and the interactions between the enteric nervous system and other parts of the autonomic nervous system. So for instance, I will describe nerves as having a volume knob that can make sensations louder or quieter in different people or different situations, and talk about changes in pain sensitivity or motility as being no different from other physical manifestations of stress (like heart rate, blood pressure, sweating, etc.). I include the point that physiologically, excitement (positive emotion) and stress (negative emotion) are virtually identical to each other, which is why their kid has terrible symptoms at birthday parties, sleepovers, etc. I talk about the microbiome and how that can impact their tolerance for certain foods (FODMAPs). 

So, IBS patients can be challenging to deal with in a lot of ways, but they really appreciate when you take them seriously and help them understand why they feel terrible so much of the time.",No
"He swore he'd never been told that. Had never taken water pills of any kind before. He had no diagnosis of CHF with our office previously -I'm attached to a larger pcp office so I had his PCPs chart also. I was kinda dumbfounded but from everything he told me, (always take that with a grain of salt) he stated my cardiologist told me my heart was fine and wasn't causing my SOB so I'm here to figure out what is causing it if it's not my heart, he thought he had pneumonia or something lung related. 

I know patients aren't always great historians but I felt like this was more than just him being forgetful considering how much history he gave me. 

I would love to know how the convo with his cardio went. I had him take his labs and xray with him. 

We're out in the boonies, so care is questionable sometimes, even with specialists who should know much more than I do.",Yes
"Consider your sample bias. I'm sure there are folks in your institution like this, but likely far fewer. I practice in a rural area where the provider to patient ratio is 1:2,300 and so even the clinicians who do care simply don't have the time or ability to handle the zebras well or to afford the bedside manner that better ratios provide. I went to school in DC (GWU) which was a starkly contrasted experience that sounds more like what you're used to.",Yes
"Yeah, it was awful. I'm pretty sure my patient thought I was going crazy. It is like my vision becomes tunneled. I can't think or say proper sentences. I'm in the process of finding a new prescriber right now. I'm just on the 20 mg. I'd love to bump it up.",No
"> Insurance doesn't reimburse us for the medication and/or supplies and barely covers the cost of the device. It's shitty that we have to even consider it, but that is our reality.

But are you up front with the patient? Do you say, ""This can be an incredibly uncomfortable procedure for some women, but I'm unable to offer procedural sedation because of reimbursements""? 

This right here highlights the exact issue I was discussing. There is a lack of transparency when IUDs are offered and it makes women distrust their physicians. Many women may pursue other methods of birth control if they had transparent doctors telling them about the pain level associated with insertions/removals. There are plenty of women speaking out about their traumatic insertions and there is now a ton of published journal articles about this as well.",Yes
"Ableism absolutely is a problem. And it is a shame, because there are a lot of people who would make excellent, intelligent, and empathic healthcare providers if training programs were accessible and just more humane.    
  
I think privilege is an issue as well, and that's something that isn't necessarily discussed and it's something we can be completely unaware of despite good intentions. We can say ""I'm not biased!"" while being ignorant of privilege. In my own case, when I was pregnant in grad school, the linguistics and anthropology departments I was in worked closely with some of the med school professors (20+ years ago they were trying to design ""virtual patients"" for the med school, and there were MD/PhD programs in med anth and public health, as well). So I was introduced to my maternal-fetal medicine specialist by first name and treated collegially in a way that I had no idea wasn't normal--I had nothing to compare it to. Over a decade later, when I returned to grad school to focus more on bio anth/evolutionary medicine and related my story, which included teasing banter with the geneticist and sh!t like that, during a discussion of birth trauma, the professor basically jumped down my throat, and I was humbled--which was fine with me! I love learning new things, and I have no problem being wrong. But she basically used my experience as a jumping off point to talk about socioeconomic disparities to obstetric care, and lit my fuse as a social justice warrior. Some things we just don't see until someone points them out to us--and all the bias training in the world won't help us see our own privilege until we are open to seeing it.

And I think that comes back to what you're saying about ableism. People who can pull 48 hour shifts \[or can they? really?\] may not realize that that is privilege, not the norm, not something to measure others by.",No
"I didn't realize that these procedures were done without sedation until reading about it on Reddit (didnt do any outpatient gyn as a med student) and was shocked that anyone would consider doing such invasive procedures  without sedation or at least IV dialysis. Same thing with cystoscopy. Just out of control, frankly.",No
It never goes away. Nurses claim to save patients from doctors. But most nurses don't even know basic physiology.,Yes
"Alcohol-consumption favors thiamine defficiency. 

Alcohol withdrawal often happens in psychiatric hospitals, where patients are closely monitored. 

So, it€˜s probably a statistical overrepresentation of alcoholics in withdrawal state, as they are monitored more closely.",No
"I think people wrongly believe that their ""pain"" needs to be exaggerated to get some attention or prioritization.  Not making a statement about the system here - just speculating.  I do not personally do this.  I've had some pretty bad pain as of late but wouldn't classify it north of a 5 even though it is impacting sleep and scaring me as to what it is. When doctors or nurses clarify that 10/10 is the worst pain I've ever felt, the pain I'm there for is NEVER that bad (flipping in a golf cart several times down a mountain, breaking ribs in a rugby match, etc).  But, I think a lot of people are responding to how impacted they are in the lives by whatever issue is at play.  I suspect folks posing the question need to have some examples, like a 5 is when you miss the nail and hit your thumb wiht a hammer, or 3 is a wasp sting.  When someone tells you their stomach pain is a 9 or 10, you say ok so this is you gearing up to give birth type of pain?",No
"assuming you only work inpatient?


outpatient pain management has higher risk of consequences, i think.",No
"I stopped asking numbers as well. It's so hard to base pain on a numeric scale. I ask does it hurt really bad, if meds are ordered, which do you prefer, the lower or higher dose. A lot of my patients I've found don't want to over medicate so they will take that lower dose. It's probably unconventional but whatever.",No
"This is anecdotal, but when I had appendicitis, sitting down for more than ten minutes would make me see stars, so I was standing up when my back needed a break for laying down. I was also on my phone because how else would I have distracted myself? And I was waiting for surgery, so the pain was obviously intense and the situation serious.  

You cannot make broad statements like this. People are different and cope in different ways. This is even more true if the pain is chronic - an acute pain will knock you off your feet and scare you, but if you have chronic pain you learn how to managed flares so that they're not all encompassing. This doesn't mean that your pain isn't high.   

Some things are objective - if a patient is jumping up and down, switching what part of their body they're guarding because they forget where the pain is supposed to be, doing push-ups or whatever - but a lot are subjective and you cannot use to gauge if your patient is actually in the referred amount of pain or not. ",Yes
"Part of the problem is that patients learn, and some of them have been trained that only a pain score of 7+ is taken seriously. Some hospital systems have rather rigid prescribing guidelines based on pain scores, where a score below 6 is not treated, and a 7 or 8 will get APAP.

Then those patients go to a different hospital system and never rate their pain below a 7 because they want access to NSAIDs if they feel they need them.",Yes
"Hard to say but it's 6-12 months to start feeling some confidence in EM.  That said the missing ingredient here is time spent in the main ER which is why I am always a little skeptical of UC or fast track jobs when starting out.  You should be able to identify a sick patient hopefully after graduation,  but identifying subtle presentations of other serious pathology takes time and if you aren't getting that exposure to these types of patients on the regular it can be stressful when starting out.  Pathology can be sneaky and these patients will absolutely find there way into FT from time to time 


I would really clarify what it means to have support from an MD in main ER, because 99% of the time this means that there will be a very busy doc working with acuity and won't have time or doesn't really want to be bothered to review cases with you.  Maybe ask some of the other PAs who have been there for awhile what  this actually looks like and then make your decision.",No
"Hypoglycemia is an immediate neurologic injury risk so not treating it to wait 30min to 1hr for thiamine is indeed an obviously bad idea.  But having banana bags in the pyxis and starting it right away can nearly eliminate that malpractice risk too.  Problem is shortages are constant on thiamine IV solutions...  Bigger issue is not thinking of thiamine in a non-alcoholic patient that is malnourished (cancer, eating d/o, major weight loss/GI surgery).",No
">Legit question, why?

Because it's disingenuous and irresponsible to pretend that lexapro and dilaudid have identical risk profiles, whether for typical use or severity of withdrawal symptoms.

>SSRI's cause withdrawal too but you are ok with that?

yes? Why wouldn't I be? SSRI withdrawal is far easier to prevent/taper than opioid withdrawal. And the morbidity from SSRI withdrawal is far less severe than with opioid withdrawal.

>now it's pounded into everyone's head that it's going to make everyone an addict.

Agreed. MDs are too scared of opioids.

>But again not everyone that is on an opioid medication is misusing it

Agree, and I never said they were.

>even if there is chemical dependence that is just the nature of some medications.

And it is the nature of some medications that the *degree* of chemical dependence is far higher than it is with other meds.

I think you've misread me as an opioid gatekeeper. When really my point was, you can't throw all dependencies into the same category and dismiss them or accept them on the same terms. Some patients are dependent on opioids in a negative way, others are dependent in a positive way (or at least in a neutral way). Replace ""opioids"" with ""SSRIs"" and that statement is still true. *However,* all the data we have (and our best understanding of neurochemical pathways), tells us that opioid dependence is much more *relatively* dangerous than SSRI dependence.

Like i said, the more philosophical question of whether America is focused on the wrong dependencies, is entirely valid and worth discussing. But it's a different question from whether certain dependencies are more medically dangerous than others.",No
"From a practical medical standpoint, I agree it's probably not all that important. Particularly if the patient is hypoglycemic. But from a CYA standpoint, it's considered standard of care and could create legal issues.",Yes
"Ask the more senior PAs what their salary trajectory has been like. If they have gotten good raises over time, then doing one year of lower income with good training would be an investment if time. If training is great, then consider it similar to a post grad training program with you having more responsibility to being a self starter as well as for patient care.",No
We had a patient that got Wernike encephalopaty after a cancer gastrectomy...so it checks all the boxes of restrictive diet + thiamine deplection in a malnourished patient ,Yes
"Male np here, this is asinine. If you want physician pay go to med school. ",No
"in Canada the gender split for family physicians is 50/50.

  
and THEN there are all the other issues",No
"NP never made it to med school, she did not go through the grueling and long weeding out process of undergrad, med school and residency for quality control and public safety. She did not pass the difficult tests. She did not do the 10 12 hr shifts for years straight in residency. She did not see enough cases under proper supervision. She did not have to do the hundreds of hours to maintain her medical license and board certifications every few years. She has not been tested and pass the mental endurance a physician has to pass. She's inferior in every way in regard to quality medical care a physician can provide.",Yes
">This level of dishonesty and fraud is incompatible with the level of integrity that is necessary to be able to practice safely as an osteopathic physician.

The report really couldn't be more damning short of alleging intentional harm (which of course isn't what happened) and makes no attempt to soften its dripping contempt.

What a tragedy.",Yes
"Ok, fair enough. Report to the OR for surgery. What's wrong? Oh, you can't. OK, fine, then I want you to independently read this radiological image and write it up appropriately. What do you mean you can't? Leave at 3? But there are still patients....",Yes
"I really feel for that OR staff. How traumatizing to have watched all of that happen.

This case is insane.

He also accidently removed part of a pancreas from another patient instead of the right adrenal gland. Wild.",Yes
"The pay is not just for the work, but for the knowledge and experience, which NPs certainly can't remotely compare to physicians.",No
"Shockingly, most females prefer a female Ob/Gyn so they see more patients.  Meanwhile payments for Ob/Gyn services are horribly low. Across the country hospitals are closing their Ob department as they lose money.  Female healthy is low priority.  

Many health organizations alot 15 mins for a female Ob exam. While a male with a urinary problem gets 45 mins with a urologist who gets a significantly higher payment from the govt or insurer.  

NPs were brought in to alleviate the crunch on physicians by dealing with simple routine cases.  Docs deal with these too but also have 8 or more years of training/debt and deal with the complex life or death problems.  Because I did some welding in HS doesn't mean I should be paid the same as an underwater welder. 

The hope must be that the NPs lawyers can pull a jury who thinks anyone wearing scrubs is essentially a doc so they should all be paid the same. Suspect the judge will knock the case out on motion practice long before trial.",Yes
I don't get why it's confusing? One has less education and one has more? Like an NP Vs a physician.,No
"No time for a phone call when you're 50 meters away lol.

But that does remind me of my EMT days in Oakland back in the mid 2000s where we would call the ER from our Nokias and give them a heads up that we were coming in with a disaster-splash and they would be like, ""mm-hmm, mm-hmm, okay, **click*/*""

And then we'd show up and watch the patient code on the gurney while the intake nurse asked me to spell their last name for the third time.",Yes
"I don't work in the OR, but reading the order of suspension makes it sound like they couldn't actually see what he was doing (especially considering the surgeon himself was apparently operating blind too),until he handed them a whole ass liver at the end. 

At that point the patient had been dead for 15 minutes already. This report doesn't say so, but *surely* multiple OR staff spoke up and reported this after the fact,right?!",Yes
"There's precedent.  The federal govt has found New York City guilty of gender discrimination by not putting  nursing on the physically demanding jobs list.  

https://www.justice.gov/usao-edny/page/file/1396636/dl?inline

18. The field of nursing has been, and remains, predominantly female.

19. In 2013, the U.S. Department of Labor reported that 90% of registered nurses
were women. See United States Department of Labor, Women's Bureau, 30 Leading Occupations of Employed Women, 2013 Annual Averages, https://www.dol.gov/wb/stats/ leadoccupations.htm.

20. Nursing involves the performance of duties that require heavy physical exertion, as well as a tremendous amount of physical effort, on a daily basis.

21. Nurses' daily physical responsibilities include lifting, moving, turning, transferring, supporting and restraining patients, many of whom are heavy, sometimes mentally ill or intoxicated, and even combative. The majority of a nurse's workday involves walking or standing. Moreover, nurses are vulnerable to workplace violence, in particular, physical assault from patients or patient family members.

22. The physical nature of performing nursing duties substantially increases the risk of back injuries. Nurses suffer a disproportionate number of musculoskeletal disorders during their careers, stemming from the cumulative effect of repeated manual handling of patients.

23. More than half of nurses complain of chronic back pain and 38% of nurses sustain
significant back injuries that require leave from work.


The policies and practices of defendant City of New York described in Paragraphs 1 through 30, supra, constitute a pattern or practice of discrimination with regard to City- employed Nurses with respect to their compensation and the terms, conditions, and privileges of employment, because of their sex, in violation of Section 707 of Title VII, 42 U.S.C. § 2000e-",No
"For something this unbelievably extreme, I am having so much trouble wrapping my head around the *why...* since it is so far beyond just incompetence... clearly I am intellectualizing as a coping technique since in the first post about this I figured there had to be more to the story that explained why certain anatomical anomalies could be present to make it more in the range of incompetent but not full on crazy. Outside of substance abuse,  which makes sense, what else? Acute psychosis (maybe a manic episode with psychosis to explain the grandiosity of insisting the liver was a spleen to pathology), with but early enough in the psychosis to not appear frankly psychotic? Some other acute psychosis? Something neuropsychiatric like maybe early Huntington's or Lewy Body? I don't work in neuropsych, but the craziness of it reminded me of the case of Dr. Benjamin Gilmer (great This American Life podcast episode [Dr. Gilmer and Mr. Hyde](https://www.thisamericanlife.org/492/dr-gilmer-and-mr-hyde). 

The big clue here is that staff agreed to work with him that day so even if he was kinda sketchy at baseline, it couldn't have been anything close to this, AND it sounds like they were somewhat paralyzed in the moment by the complete shock and unbelievability of what was happening- so yeah, I all I can come up with is a lot of meth or some other drug(s), acute early psychosis, or an undiagnosed neuropsychiatric condition. I guess the horse in this scenario is probably a lot of meth/drugs. Just... wow.",Yes
"Well the general thought over this is, that the NP(s) in question haven't really thought through this, surprise. Let them give equal payment. Now which profession are hospitals/ clinics more likely to hire, physicians or midlevels, who can do less and who need more supervision?",No
"Agreed.  My office is nicely nestled inside of our hospital and gives us access to almost immediate labs and imaging. We have one urgent care slot an hour for same day appointments so I feel like I've cross trained in both urgent care and family med. I'm sure once my patient panel grows to unreasonable limits that the urgent care visits will slow down, but it's nice to throw in a URI or two after seeing my cirrhosis and ESRD patients.",No
"This sounds like a big mess long before the liver came out. Can someone tell me what the real idea was for the surgery?

Why didn't anyone anticipate the mega colon? The colon would be pretty obvious on pre-op X-rays. The abdomen would be distended.

The picture I get, you slice open the abdomen and colon comes spilling out like party balloons. How do you see anything?

Then you dissect out the wrong vessel and transect the IVC. The field immediately fills up with blood and the patient codes. You can't see anything, but now you are up to your elbows in distended colon swimming in a pit of blood. They are doing CPR. Everything is sloshing back and forth. You don't have enough suction to get ahead.

Removing the liver is a post mortem event. You already killed the patient at the IVC laceration. Take out anything you want.",No
